point_name,position,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,analysis_height_interval,analysis_height_interval_label,target_grid_origin,geometry_reconstruction_mode,measured_neutron_ap_component_uSv_h,u_measured_neutron_ap_component_uSv_h,measured_gamma_ap_component_uSv_h,u_measured_gamma_ap_component_uSv_h,measured_total_ap_estimate_uSv_h,u_measured_total_ap_estimate_uSv_h,neutron_component_available,gamma_component_available,total_estimate_available,neutron_height_interpolation_mode,gamma_height_interpolation_mode,neutron_support_minimum_height_cm,neutron_support_maximum_height_cm,gamma_support_minimum_height_cm,gamma_support_maximum_height_cm,horizontal_position_limit_cm,vertical_uncertainty_scope,result_status,relative_total_uncertainty_percent
N5_P1_x124_h42,P1,124.0,42.0,0.0,-168.24999999999994,1.0,0.0,-159.40500000000003,1.0,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,27.32330208867031,5.828244167195386,3.6504358233922627,1.2258605658474395,30.973737912062575,5.955767305674966,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,19.228442245440196
N5_P1_x164_h42,P1,164.0,42.0,0.0,-208.24999999999994,0.9999999999999929,0.0,-199.40499999999997,0.9999999999999929,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,19.355313410346863,5.099677977104871,0.4582153276753787,0.2049140882778411,19.813528738022242,5.103793222079355,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,38.0,38.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,25.759133012410633
P1_x176_h42,P1,176.0,42.0,0.0,-220.25,1.0,0.0,-211.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,17.45341098169717,4.899415341284434,0.4509828112018202,0.2149302592130055,17.904393792898993,4.904127415018765,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,38.0,38.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,27.39063646468598
N5_P1_x184_h42,P1,184.0,42.0,0.0,-228.2499999999999,0.9999999999999929,0.0,-219.40499999999994,0.9999999999999929,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,15.94806768248821,5.0217039928026175,0.7620187244680395,0.38735260154633333,16.71008640695625,5.036621191756877,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,42.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,30.1412037561947
P1_x199_h42,P1,199.0,42.0,0.0,-243.25,1.0,0.0,-234.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,13.46666666666667,5.259281977750378,0.6197604603267015,0.3623764046783034,14.086427126993371,5.271751471774585,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,42.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,37.42433353928688
N5_P1_x203_h42,P1,203.0,42.0,0.0,-247.2499999999999,0.9999999999999929,0.0,-238.40499999999992,0.9999999999999929,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,12.962906407366573,5.078903936399053,0.5865333688219746,0.3559924830513872,13.549439776188548,5.09136483108006,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,42.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,37.576201785312925
P1_x320_h42,P1,320.0,42.0,0.0,-364.25,1.0,0.0,-355.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,4.25,1.8299684873455677,0.5310508929240425,0.5719053080270313,4.781050892924043,1.9172533338156748,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,42.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,40.10108607405143
N5_P1_x321_h42,P1,321.0,42.0,0.0,-365.24999999999983,0.9999999999999787,0.0,-356.40499999999975,0.9999999999999787,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,4.209978521863253,1.8333916342743146,0.530600046541551,0.5742272705965937,4.740578568404803,1.9212136380225537,True,True,True,single measured height represents interval,interpolated between measured heights,42.0,42.0,38.0,42.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,40.52698653339773
N5_P1_x334_h42,P1,334.0,42.0,0.0,-378.24999999999983,0.9999999999999787,0.0,-369.40499999999975,0.9999999999999787,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,3.7227359397388966,1.8784796320614758,0.36574911565847673,0.4028900389131937,4.088485055397373,1.9211991337509218,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,38.0,38.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,46.99048933087501
P1_x420_h42,P1,420.0,42.0,0.0,-464.25,1.0,0.0,-455.405,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,1.65,2.206007756546536,,,,,True,False,False,single measured height represents interval,unavailable,42.0,42.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P1_x0_h85,P1,0.0,85.0,0.0,-44.25,44.0,0.0,-35.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,78.68469217970049,6.666578010355729,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P1_x4_h85,P1,4.0,85.0,0.0,-48.25,44.0,0.0,-39.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,77.42203261250461,6.632878904978356,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P1_x7_h85,P1,7.0,85.0,0.0,-51.25,44.0,0.0,-42.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,76.4883527454243,6.607716413146359,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P1_x57_h85,P1,57.0,85.0,0.0,-101.25,44.0,0.0,-92.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,29.133943427620636,3.7888193659245526,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P1_x114_h85,P1,114.0,85.0,0.0,-158.25,44.0,0.0,-149.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,14.633333333333335,3.196197595419483,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P1_x176_h85,P1,176.0,85.0,0.0,-220.25,44.0,0.0,-211.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,6.904326123128119,2.189432632393189,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P1_x199_h85,P1,199.0,85.0,0.0,-243.25,44.0,0.0,-234.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,5.8,1.639556088238685,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P1_x320_h85,P1,320.0,85.0,0.0,-364.25,44.0,0.0,-355.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,1.979201331114809,0.9402920622031146,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P1_x420_h85,P1,420.0,85.0,0.0,-464.25,44.0,0.0,-455.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,0.9143094841930116,0.4733350535768688,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P2_x2_h55,P2,2.0,55.0,51.51561146012848,-42.51561146012848,14.0,45.261251980533466,-36.261251980533466,14.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,42.26666666666666,4.766579830133871,10.327194914648246,1.6715535796064855,52.593861581314904,5.051175570749279,True,True,True,single measured height represents interval,single measured height represents interval,55.0,55.0,65.0,65.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,9.604116181770948
P2_x57_h55,P2,57.0,55.0,90.40648442538858,-81.40648442538858,14.0,84.15212494579359,-75.15212494579359,14.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,25.24043261231281,4.566809525164412,1.5001876960748681,0.5285429474737647,26.740620308387676,4.597293430536782,True,True,True,single measured height represents interval,single measured height represents interval,55.0,55.0,65.0,65.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,17.192171974764392
P2_x114_h55,P2,114.0,55.0,130.7115709530218,-121.7115709530218,14.0,124.4572114734268,-115.4572114734268,14.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,13.566666666666666,3.358750151487759,0.6522348577994074,0.29027482496403195,14.218901524466073,3.371270095101688,True,True,True,single measured height represents interval,single measured height represents interval,55.0,55.0,65.0,65.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,23.709778770890534
P2_x176_h55,P2,176.0,55.0,174.55219138658774,-165.55219138658774,14.0,168.29783190699274,-159.29783190699274,14.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,8.917637271214641,3.058734145596832,0.42190448913431844,0.34941485734279837,9.33954176034896,3.0786271804120537,True,True,True,single measured height represents interval,single measured height represents interval,55.0,55.0,65.0,65.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,32.96336436421721
P2_x199_h55,P2,199.0,55.0,190.81564735387835,-181.81564735387835,14.0,184.56128787428327,-175.56128787428332,14.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,7.50332778702163,2.778766074906733,0.08921811878352666,0.045383496877316264,7.5925459058051565,2.7791366574606196,True,True,True,single measured height represents interval,single measured height represents interval,55.0,55.0,65.0,65.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,36.6034883679232
P2_x321_h55,P2,321.0,55.0,277.0826746586372,-268.0826746586372,14.0,270.82831517904214,-261.82831517904214,14.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,3.509983361064892,2.3697164970398625,0.04351688482575286,0.03638391010642235,3.553500245890645,2.369995794354393,True,True,True,interpolated between measured heights,single measured height represents interval,55.0,65.0,65.0,65.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,66.6946849685775
P2_x420_h55,P2,420.0,55.0,347.0862459961053,-338.0862459961053,14.0,340.83188651651034,-331.83188651651034,14.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,2.216666666666667,1.4864310870232789,,,,,True,False,False,single measured height represents interval,unavailable,55.0,55.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P2_x0_h85,P2,0.0,85.0,50.10139789775538,-41.10139789775538,44.0,43.84703841816037,-34.84703841816037,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,25.839434276206322,4.558696093422816,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P2_x5_h85,P2,5.0,85.0,53.63693180368812,-44.63693180368812,44.0,47.38257232409311,-38.38257232409311,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,25.11666666666667,3.8021182885655844,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P2_x30_h85,P2,30.0,85.0,71.3146013333518,-62.3146013333518,44.0,65.06024185375679,-56.0602418537568,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,23.643094841930125,4.122573402304298,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P2_x57_h85,P2,57.0,85.0,90.40648442538858,-81.40648442538858,44.0,84.15212494579359,-75.15212494579359,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,19.633111480865225,3.72294198456647,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P2_x114_h85,P2,114.0,85.0,130.7115709530218,-121.7115709530218,44.0,124.4572114734268,-115.4572114734268,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,12.949999999999998,3.5981589552521798,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P2_x156_h85,P2,156.0,85.0,160.4100557628568,-151.4100557628568,44.0,154.1556962832618,-145.1556962832618,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,10.133333333333335,3.5263891260668974,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P2_x176_h85,P2,176.0,85.0,174.55219138658774,-165.55219138658774,44.0,168.29783190699274,-159.29783190699274,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,9.300332778702165,3.498477580118299,1.5477424820136025,1.1698447654119595,10.848075260715767,3.6888863026328353,True,True,True,single measured height represents interval,single measured height represents interval,85.0,85.0,85.0,85.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,34.00498442328689
P2_x199_h85,P2,199.0,85.0,190.81564735387835,-181.81564735387835,44.0,184.56128787428327,-175.56128787428332,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,7.519966722129783,2.6451989810677,0.35042771254873367,0.22864908826235275,7.870394434678516,2.6550627214822637,True,True,True,single measured height represents interval,single measured height represents interval,85.0,85.0,85.0,85.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,33.734811431858255
N5_P2_x200_h85,P2,200.0,85.0,191.52275413506476,-182.52275413506476,43.999999999999844,185.26839465546982,-176.26839465546982,43.999999999999844,upper,Upper height interval (85–113 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,7.495444033732122,2.650711608655228,0.32851152205282885,0.21298311765544933,7.823955555784951,2.6592543768255457,True,True,True,single measured height represents interval,single measured height represents interval,85.0,85.0,85.0,85.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,33.98861813394787
P2_x300_h85,P2,300.0,85.0,262.2334322537196,-253.23343225371963,44.0,255.97907277412463,-246.97907277412463,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,5.406821963394343,3.264192870344979,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P2_x321_h85,P2,321.0,85.0,277.0826746586372,-268.0826746586372,44.0,270.82831517904214,-261.82831517904214,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,3.8166666666666655,2.3357474990209237,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
N5_P2_x400_h85,P2,400.0,85.0,332.9441103723741,-323.94411037237415,43.99999999999967,326.68975089277916,-317.68975089277916,43.99999999999967,upper,Upper height interval (85–113 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,,,,,,,False,False,False,unavailable,unavailable,,,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x0_h45,P3,0.0,45.0,53.25,0.0,4.0,44.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,130.20715474209652,7.932129290959225,,,,,True,False,False,single measured height represents interval,unavailable,45.0,45.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x5_h45,P3,5.0,45.0,58.25,0.0,4.0,49.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,100.84775374376038,7.509756587720255,5.50358610088788,0.7306847848321922,106.35133984464827,7.545219961113992,True,True,True,single measured height represents interval,single measured height represents interval,45.0,45.0,64.0,64.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,7.094616741204767
P3_x57_h45,P3,57.0,45.0,110.25,0.0,4.0,101.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,23.992512479201327,3.8246208919726365,1.1313402705936135,0.365767418686089,25.123852749794942,3.842071156535997,True,True,True,single measured height represents interval,single measured height represents interval,45.0,45.0,64.0,64.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,15.292523781279346
P3_x114_h45,P3,114.0,45.0,167.25,0.0,4.0,158.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,12.694675540765388,2.8034712886117745,0.32746711104654164,0.1344306565801943,13.02214265181193,2.806692513885186,True,True,True,single measured height represents interval,single measured height represents interval,45.0,45.0,64.0,64.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,21.553231207267235
P3_x176_h45,P3,176.0,45.0,229.25,0.0,4.0,220.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,7.416666666666668,2.527045438104363,0.21481987805924288,0.10797644941435777,7.63148654472591,2.5293512132308167,True,True,True,single measured height represents interval,single measured height represents interval,45.0,45.0,45.0,45.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,33.14362409482123
P3_x199_h45,P3,199.0,45.0,252.25,0.0,4.0,243.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,5.872712146422629,2.345622802360903,,,,,True,False,False,single measured height represents interval,unavailable,45.0,45.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x225_h45,P3,225.0,45.0,278.25,0.0,4.0,269.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,5.406821963394343,2.631367510167235,,,,,True,False,False,single measured height represents interval,unavailable,45.0,45.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
